time,air_Temp_float
2021-08-28 03:57:53.930017176,20.171411514282227
2021-09-03 20:06:28.179809123,19.956207275390625
2021-07-14 23:06:08.116897289,24.575231552124023
2021-08-06 20:11:14.891477327,15.944955825805664
2021-08-21 13:03:52.984336794,23.386676788330078
2021-07-20 08:01:05.946067413,0.0
2021-08-22 01:25:44.465972277,20.90545654296875
2021-07-21 07:01:03.650129812,0.0
2021-08-17 15:36:08.348261124,23.055622100830078
2021-08-29 18:09:24.463422579,22.037282943725586
2021-07-24 12:00:36.734740469,24.095012664794922
2021-09-08 14:23:50.496881731,17.810836791992188
2021-09-06 04:22:10.131102244,0.0
2021-09-01 16:14:07.685132460,21.95509529113769
2021-08-22 10:06:15.175893253,19.87804412841797
2021-09-08 14:23:46.957032136,0.0
2021-09-08 14:23:46.667428422,17.810836791992188
2021-09-08 14:23:43.679659328,19.626893997192386
2021-09-08 14:23:43.019092958,19.31232452392578
2021-08-06 17:41:45.804974974,17.372346878051758
2021-08-02 11:56:28.372281018,17.180009841918945
2021-07-25 20:29:48.357507616,24.03951644897461
2021-08-25 08:23:48.670269857,19.559289932250977
2021-07-24 07:00:41.490227011,23.50741195678711
2021-08-04 19:53:58.772487012,22.53033447265625
2021-09-01 07:07:54.863150758,23.099105834960934
2021-09-08 14:23:53.176131713,19.25531768798828
2021-08-29 02:09:48.804563577,21.85244369506836
2021-08-19 12:10:40.334620452,21.591344833374023
2021-08-22 18:48:26.740670765,21.16645050048828
2021-09-04 15:35:59.478591332,21.480695724487305
2021-08-17 06:31:21.394177120,22.90449142456055
2021-09-08 14:23:49.465332145,21.367441177368164
2021-09-08 14:23:52.054057830,19.583946228027344
2021-07-21 17:01:02.857212713,0.0
2021-07-31 08:56:36.710726198,25.076261520385746
2021-07-21 19:31:03.265947457,0.0
2021-09-08 14:23:45.390226134,0.0
2021-09-03 12:46:07.868766502,11.150538444519043
2021-09-08 14:23:43.924079600,19.31232452392578
2021-09-09 05:09:23.170510250,19.281980514526367
2021-08-08 21:51:37.115211558,22.90481758117676
2021-09-08 14:23:51.098695690,19.664331436157227
2021-08-03 13:31:01.549516214,23.66356658935547
2021-07-31 21:31:03.248448173,24.432138442993164
2021-07-22 19:31:35.298534460,23.20642280578613
2021-07-10 06:38:54.261544239,26.52945709228516
2021-09-08 14:23:45.545265169,0.0
2021-09-01 05:38:00.570692497,20.942140579223636
2021-09-08 14:23:47.563893680,19.582609176635746
2021-08-29 16:22:56.563492117,22.1592960357666
2021-09-08 14:23:43.775424053,0.0
2021-08-14 00:31:08.654363321,22.394250869750977
2021-08-08 23:31:03.045710805,22.69975662231445
2021-08-02 22:01:04.021145797,22.70095443725586
2021-07-19 15:45:30.134267932,25.08003234863281
2021-08-18 19:53:14.834192189,15.342284202575685
2021-08-17 18:45:07.250212146,17.978717803955078
2021-09-08 14:23:52.661251380,19.31232452392578
2021-07-14 20:06:13.272160007,25.79863548278809
2021-08-04 06:11:58.349321346,19.18389320373535
2021-09-03 03:36:50.737326592,19.77249526977539
2021-08-22 11:37:22.576760693,21.660120010375977
2021-08-14 16:48:14.743089805,22.90239715576172
2021-07-23 18:02:20.212235226,17.772409439086914
2021-09-09 18:39:30.044572633,20.901145935058594
2021-09-08 14:23:49.550605184,19.582609176635746
2021-09-08 14:23:42.433897521,17.810836791992188
2021-07-24 09:05:04.654997211,27.378019332885746
2021-09-01 19:47:55.343283445,21.15823745727539
2021-09-13 03:58:12.028452487,21.754383087158203
2021-08-28 09:40:15.463454579,23.97854042053223
2021-08-08 20:24:43.193352777,16.303350448608402
2021-08-31 06:38:33.796438041,21.914854049682614
2021-09-08 14:23:47.396901274,17.810836791992188
2021-09-04 00:36:18.852973307,19.63560104370117
2021-08-12 19:49:19.938047851,21.949316024780273
2021-09-08 14:23:47.097747969,19.908891677856445
2021-08-23 08:13:10.680177590,20.88471221923828
2021-08-19 18:45:16.620379295,21.398426055908203
2021-09-12 15:58:28.338531250,21.939159393310547
2021-07-30 22:56:49.924494655,23.553693771362305
2021-08-06 20:52:48.708217916,22.723648071289066
2021-09-08 14:23:50.298596007,19.608009338378906
2021-07-29 07:27:47.837025285,25.24358367919922
2021-09-02 21:36:58.681974405,19.828174591064453
2021-08-31 05:08:35.849056908,21.862932205200195
2021-09-08 14:23:50.127492812,19.582609176635746
2021-07-24 03:00:48.316246871,21.851539611816406
2021-09-04 16:30:30.375763284,20.90516662597656
2021-08-19 22:33:32.276358564,12.349626541137695
2021-08-15 15:47:41.395872405,23.281251907348636
2021-08-17 13:46:33.593649894,23.11710357666016
2021-09-08 14:23:43.571319741,19.582609176635746
2021-08-30 07:33:24.811042787,22.08488273620605
2021-08-28 19:09:58.944295259,22.85323715209961
2021-09-08 14:23:44.645188940,21.367441177368164
2021-09-08 14:23:43.734130187,19.582609176635746
2021-09-07 01:53:27.033592141,10.369123458862305
2021-08-03 18:01:03.118522990,23.23962593078613
