,time,air_Temp_float
8939,2021-09-12 23:58:18.899833442,22.11730194091797
2066,2021-08-04 04:31:02.927395845,21.44569396972656
6449,2021-09-08 14:23:44.180692938,19.626893997192386
3254,2021-08-15 14:10:42.780295464,17.443017959594727
8279,2021-09-08 14:23:53.647614534,19.626893997192386
4039,2021-08-21 20:04:32.432151975,21.792068481445312
612,2021-07-21 02:32:35.535179648,21.730039596557614
6305,2021-09-08 14:23:43.547874736,19.664331436157227
5642,2021-09-03 15:22:03.366051701,12.558533668518065
8945,2021-09-13 02:58:15.370881291,21.827219009399414
1851,2021-08-02 03:25:34.092360994,23.7010440826416
1966,2021-08-03 05:36:00.285400233,17.654766082763672
6164,2021-09-08 14:23:42.586282210,17.810836791992188
1314,2021-07-27 20:01:04.619574852,0.0
1261,2021-07-27 05:59:01.769859221,24.3840446472168
6223,2021-09-08 14:23:42.887733674,19.626893997192386
4491,2021-08-24 22:48:47.490053402,19.866914749145508
1909,2021-08-02 17:01:02.564637135,23.134967803955078
6501,2021-09-08 14:23:44.441003597,19.23609161376953
6430,2021-09-08 14:23:44.084349473,19.23609161376953
2038,2021-08-03 21:54:34.000189196,22.314552307128906
3579,2021-08-18 12:04:11.761767510,22.759965896606445
5098,2021-08-29 15:43:50.289293712,22.183767318725586
3437,2021-08-17 05:01:20.056164137,22.34726333618164
4986,2021-08-28 18:10:01.308018135,23.0087833404541
7532,2021-09-08 14:23:49.600878211,19.25531768798828
6145,2021-09-08 14:23:42.310534961,19.664331436157227
1575,2021-07-30 13:57:03.055355899,26.086427688598636
4957,2021-08-28 11:40:09.397282222,30.605409622192386
5687,2021-09-03 22:23:32.406860769,19.714319229125977
2627,2021-08-09 04:52:16.971014579,17.567741394042972
3891,2021-08-20 15:26:59.380708355,22.131322860717773
4837,2021-08-28 03:55:17.224360965,20.171506881713867
3462,2021-08-17 10:33:46.269223652,26.34216117858887
7866,2021-09-08 14:23:51.347073418,0.0
7313,2021-09-08 14:23:48.504186356,19.25531768798828
516,2021-07-20 04:21:20.188255867,13.356729507446287
5532,2021-09-02 06:07:24.333395264,21.248952865600586
4291,2021-08-23 06:35:35.557713504,20.319917678833008
2796,2021-08-10 16:20:34.634394732,24.373306274414066
7919,2021-09-08 14:23:51.836014254,19.31232452392578
7439,2021-09-08 14:23:49.135269779,0.0
846,2021-07-23 07:01:16.906456357,24.04706382751465
7219,2021-09-08 14:23:48.034320673,19.608009338378906
1275,2021-07-27 08:58:56.711345295,26.1635684967041
316,2021-07-16 09:35:20.076423644,27.969165802001953
2100,2021-08-04 12:24:09.436142850,23.96525382995605
3830,2021-08-20 02:15:03.796133915,20.239011764526367
5134,2021-08-29 21:19:37.783426868,21.719200134277344
2855,2021-08-11 20:01:04.699346240,22.317014694213867
6326,2021-09-08 14:23:43.625501724,0.0
8287,2021-09-08 14:25:21.907656310,19.231914520263672
7849,2021-09-08 14:23:51.259085805,19.23609161376953
2778,2021-08-10 12:31:02.149808201,25.12153625488281
6574,2021-09-08 14:23:44.806083734,19.31232452392578
6543,2021-09-08 14:23:44.651062160,19.582609176635746
4673,2021-08-26 03:41:32.803810620,19.40815734863281
7979,2021-09-08 14:23:52.054057830,19.583946228027344
5184,2021-08-30 03:48:51.338532213,21.156160354614254
3199,2021-08-15 01:16:37.057409280,13.842141151428224
2079,2021-08-04 07:54:17.341617045,23.987957000732425
2949,2021-08-12 16:49:22.400008499,22.358562469482425
4611,2021-08-25 19:11:43.686485949,19.60921669006348
1389,2021-07-28 15:58:11.463020989,26.95134925842285
5133,2021-08-29 21:09:20.068057272,21.832857131958008
2478,2021-08-07 18:54:28.479828431,16.962934494018555
440,2021-07-19 02:33:43.495320576,20.79461479187012
4463,2021-08-24 17:42:21.824863507,20.550806045532227
4153,2021-08-22 12:32:46.404590761,22.762733459472656
7248,2021-09-08 14:23:48.186881165,19.626893997192386
8147,2021-09-08 14:23:53.005166819,19.23609161376953
2351,2021-08-06 17:31:03.602961043,23.447370529174805
2700,2021-08-09 20:51:03.859550843,22.569921493530273
8080,2021-09-08 14:23:52.720461089,19.583946228027344
2313,2021-08-06 11:23:16.670596830,32.06344223022461
3919,2021-08-20 21:00:42.258513307,21.187355041503906
4033,2021-08-21 18:58:24.415079977,22.052492141723636
208,2021-07-14 03:06:39.581531242,22.51052474975586
8352,2021-09-08 18:24:46.822402360,19.347749710083008
1354,2021-07-28 04:58:27.694663346,25.187562942504886
5131,2021-08-29 20:57:47.924636920,21.78116226196289
4543,2021-08-25 08:07:07.423295609,19.544958114624023
3220,2021-08-15 06:01:11.163305612,22.321430206298828
6144,2021-09-08 14:23:42.306491892,19.582609176635746
2194,2021-08-05 08:53:39.480980180,23.835716247558594
6355,2021-09-08 14:23:43.730717339,19.908891677856445
5009,2021-08-28 23:09:54.007809275,22.21275329589844
4868,2021-08-28 03:57:53.951504801,20.209959030151367
6653,2021-09-08 14:23:45.200763380,19.664331436157227
5882,2021-09-05 05:17:34.974381274,7.6369261741638175
7514,2021-09-08 14:23:49.510726991,19.583946228027344
4945,2021-08-28 08:10:15.298620482,22.5195255279541
2248,2021-08-05 20:28:44.708684289,6.598602294921875
1110,2021-07-25 20:59:49.461044697,24.041322708129886
155,2021-07-13 00:37:16.837019464,24.38784599304199
6934,2021-09-08 14:23:46.607913388,21.367441177368164
4043,2021-08-21 20:43:14.480327978,6.283512592315674
8405,2021-09-08 21:17:34.085404410,19.62516975402832
4663,2021-08-26 02:30:07.749218294,19.073223114013672
4394,2021-08-24 03:00:51.293540047,20.245227813720703
